bioguide_id,Name,first_name,middle_name,last_name,nickname,Chamber,State,District,Party,start_year,end_year,update_date,image_url
M001233,Mark B. Messmer,Mark,B.,Messmer,,House,Indiana,8,Republican,2025,,2025-07-14T14:25:50Z,https://www.congress.gov/img/member/677448630b34857ecc909125_200.jpg
R000617,Delia C. Ramirez,Delia,C.,Ramirez,,House,Illinois,3,Democratic,2023,,2025-06-13T13:48:04Z,https://www.congress.gov/img/member/684c2356333714e4aee2e1fd_200.jpg
S001232,Tim Sheehy,Tim,,Sheehy,,Senate,Montana,,Republican,2025,,2025-06-07T10:30:29Z,https://www.congress.gov/img/member/677d8231fdb6cf36bbb6498b_200.jpg
L000570,Ben Ray Luján,Ben,Ray,Luján,,Senate,New Mexico,,Democratic,2021,,2025-06-03T13:18:42Z,https://www.congress.gov/img/member/l000570_200.jpg
H001089,Josh Hawley,Josh,,Hawley,,Senate,Missouri,,Republican,2019,,2025-05-28T10:30:24Z,https://www.congress.gov/img/member/h001089_200.jpg
W000800,Peter Welch,Peter,,Welch,,Senate,Vermont,,Democratic,2023,,2025-05-24T10:30:30Z,https://www.congress.gov/img/member/fd3cb364b8bf93c25834cff750637802_200.jpg
M001242,Bernie Moreno,Bernie,,Moreno,,Senate,Ohio,,Republican,2025,,2025-05-17T10:30:27Z,https://www.congress.gov/img/member/67c8694e6159152e59828afb_200.jpg
M001229,LaMonica McIver,LaMonica,,McIver,,House,New Jersey,10,Democratic,2024,,2025-05-09T13:45:32Z,https://www.congress.gov/img/member/681dfed94fc893ce843e24b8_200.jpg
H001085,Chrissy Houlahan,Chrissy,,Houlahan,,House,Pennsylvania,6,Democratic,2019,,2025-05-08T13:36:39Z,https://www.congress.gov/img/member/681bc0e6b763f94d6e471f50_200.jpg
M001244,Ashley Moody,Ashley,,Moody,,Senate,Florida,,Republican,2025,,2025-05-07T10:42:23Z,No Image Available
M001226,Robert Menendez,Robert,,Menendez,,House,New Jersey,8,Democratic,2023,,2025-04-30T18:14:58Z,https://www.congress.gov/img/member/681231f6246d1b6bd8d9f6b4_200.jpg
F000477,Valerie P. Foushee,Valerie,P.,Foushee,,House,North Carolina,4,Democratic,2023,,2025-04-30T14:39:33Z,https://www.congress.gov/img/member/68122e57246d1b6bd8d9f6ab_200.jpg
T000488,Shri Thanedar,Shri,,Thanedar,,House,Michigan,13,Democratic,2023,,2025-04-30T14:37:55Z,https://www.congress.gov/img/member/68122bf2246d1b6bd8d9f6a2_200.jpg
P000622,Jimmy Patronis,Jimmy,,Patronis,,House,Florida,1,Republican,2025,,2025-04-28T13:06:19Z,https://www.congress.gov/img/member/67efdb991b05a5a598f7fde9_200.jpg
